pad,x,y,scale,direction,cobo,asad,aget,channel,cy,cx
1348,58.898823,40.381233,0.5,0,0,2,1,41,-58.898823,-39.672790300376015
1349,58.898823,36.130577,0.5,1,0,2,1,38,-58.898823,-36.83901969962399
1350,61.35294,40.381233,0.5,1,0,2,1,37,-61.35294,-41.08967569962399
1351,61.35294,36.130577,0.5,0,0,2,1,36,-61.35294,-35.422134300376015
1352,63.807056,36.130577,0.5,1,0,2,1,34,-63.807056,-36.83901969962399
1353,63.807056,40.381233,0.5,0,0,2,1,31,-63.807056,-39.672790300376015
1354,66.261177,36.130577,0.5,0,0,2,3,61,-66.261177,-35.422134300376015
1355,66.261177,40.381233,0.5,1,0,2,1,27,-66.261177,-41.08967569962399
1356,68.715294,40.381233,0.5,0,0,2,0,3,-68.715294,-39.672790300376015
1357,68.715294,36.130577,0.5,1,0,2,3,65,-68.715294,-36.83901969962399
1358,71.169411,40.381233,0.5,1,0,2,0,5,-71.169411,-41.08967569962399
1359,71.169411,36.130577,0.5,0,0,2,2,5,-71.169411,-35.422134300376015
1360,73.623528,36.130577,0.5,1,0,2,2,12,-73.623528,-36.83901969962399
1361,73.623528,40.381233,0.5,0,0,2,0,12,-73.623528,-39.672790300376015
1362,76.077644,36.130577,0.5,0,0,2,2,18,-76.077644,-35.422134300376015
1363,76.077644,40.381233,0.5,1,0,2,0,16,-76.077644,-41.08967569962399
